Title:               Consumer Price Index for All Urban Consumers: All Items
1920-05-01   20.600
1920-06-01   20.900
1920-07-01   20.800
1920-08-01   20.300
1920-09-01   20.000
1920-10-01   19.900
1920-11-01   19.800
1920-12-01   19.400
1921-01-01   19.000
1921-02-01   18.400
1921-03-01   18.300
1921-04-01   18.100
1921-05-01   17.700
1921-06-01   17.600
1921-07-01   17.700
1921-08-01   17.700
1921-09-01   17.500
1921-10-01   17.500
1921-11-01   17.400
1921-12-01   17.300
1922-01-01   16.900
1922-02-01   16.900
1922-03-01   16.700
1922-04-01   16.700
1922-05-01   16.700
1922-06-01   16.700
1922-07-01   16.800
1922-08-01   16.600
1922-09-01   16.600
1922-10-01   16.700
1922-11-01   16.800
1922-12-01   16.900
1923-01-01   16.800
1923-02-01   16.800
1923-03-01   16.800
1923-04-01   16.900
1923-05-01   16.900
1923-06-01   17.000
1923-07-01   17.200
1923-08-01   17.100
1923-09-01   17.200
1923-10-01   17.300
1923-11-01   17.300
1923-12-01   17.300
1924-01-01   17.300
1924-02-01   17.200
1924-03-01   17.100
1924-04-01   17.000
1924-05-01   17.000
1924-06-01   17.000
1924-07-01   17.100
1924-08-01   17.000
1924-09-01   17.100
1924-10-01   17.200
1924-11-01   17.200
1924-12-01   17.300
1925-01-01   17.300
1925-02-01   17.200
1925-03-01   17.300
1925-04-01   17.200
1925-05-01   17.300
1925-06-01   17.500
1925-07-01   17.700
1925-08-01   17.700
1925-09-01   17.700
1925-10-01   17.700
1925-11-01   18.000
1925-12-01   17.900
1926-01-01   17.900
1926-02-01   17.900
1926-03-01   17.800
1926-04-01   17.900
1926-05-01   17.800
1926-06-01   17.700
1926-07-01   17.500
1926-08-01   17.400
1926-09-01   17.500
1926-10-01   17.600
1926-11-01   17.700
1926-12-01   17.700
1927-01-01   17.500
1927-02-01   17.400
1927-03-01   17.300
1927-04-01   17.300
1927-05-01   17.400
1927-06-01   17.600
1927-07-01   17.300
1927-08-01   17.200
1927-09-01   17.300
1927-10-01   17.400
1927-11-01   17.300
1927-12-01   17.300
1928-01-01   17.300
1928-02-01   17.100
1928-03-01   17.100
1928-04-01   17.100
1928-05-01   17.200
1928-06-01   17.100
1928-07-01   17.100
1928-08-01   17.100
1928-09-01   17.300
1928-10-01   17.200
1928-11-01   17.200
1928-12-01   17.100
1929-01-01   17.100
1929-02-01   17.100
1929-03-01   17.000
1929-04-01   16.900
1929-05-01   17.000
1929-06-01   17.100
1929-07-01   17.300
1929-08-01   17.300
1929-09-01   17.300
1929-10-01   17.300
1929-11-01   17.300
1929-12-01   17.200
1930-01-01   17.100
1930-02-01   17.000
1930-03-01   16.900
1930-04-01   17.000
1930-05-01   16.900
1930-06-01   16.800
1930-07-01   16.600
1930-08-01   16.500
1930-09-01   16.600
1930-10-01   16.500
1930-11-01   16.400
1930-12-01   16.100
1931-01-01   15.900
1931-02-01   15.700
1931-03-01   15.600
1931-04-01   15.500
1931-05-01   15.300
1931-06-01   15.100
1931-07-01   15.100
1931-08-01   15.100
1931-09-01   15.000
1931-10-01   14.900
1931-11-01   14.700
1931-12-01   14.600
1932-01-01   14.300
1932-02-01   14.100
1932-03-01   14.000
1932-04-01   13.900
1932-05-01   13.700
1932-06-01   13.600
1932-07-01   13.600
1932-08-01   13.500
1932-09-01   13.400
1932-10-01   13.300
1932-11-01   13.200
1932-12-01   13.100
1933-01-01   12.900
1933-02-01   12.700
1933-03-01   12.600
1933-04-01   12.600
1933-05-01   12.600
1933-06-01   12.700
1933-07-01   13.100
1933-08-01   13.200
1933-09-01   13.200
1933-10-01   13.200
1933-11-01   13.200
1933-12-01   13.200
1934-01-01   13.200
1934-02-01   13.300
1934-03-01   13.300
1934-04-01   13.300
1934-05-01   13.300
1934-06-01   13.400
1934-07-01   13.400
1934-08-01   13.400
1934-09-01   13.600
1934-10-01   13.500
1934-11-01   13.500
1934-12-01   13.400
1935-01-01   13.600
1935-02-01   13.700
1935-03-01   13.700
1935-04-01   13.800
1935-05-01   13.800
1935-06-01   13.700
1935-07-01   13.700
1935-08-01   13.700
1935-09-01   13.700
1935-10-01   13.700
1935-11-01   13.800
1935-12-01   13.800
1936-01-01   13.800
1936-02-01   13.800
1936-03-01   13.700
1936-04-01   13.700
1936-05-01   13.700
1936-06-01   13.800
1936-07-01   13.900
1936-08-01   14.000
1936-09-01   14.000
1936-10-01   14.000
1936-11-01   14.000
1936-12-01   14.000
1937-01-01   14.100
1937-02-01   14.100
1937-03-01   14.200
1937-04-01   14.300
1937-05-01   14.400
1937-06-01   14.400
1937-07-01   14.500
1937-08-01   14.500
1937-09-01   14.600
1937-10-01   14.600
1937-11-01   14.500
1937-12-01   14.400
1938-01-01   14.200
1938-02-01   14.100
1938-03-01   14.100
1938-04-01   14.200
1938-05-01   14.100
1938-06-01   14.100
1938-07-01   14.100
1938-08-01   14.100
1938-09-01   14.100
1938-10-01   14.000
1938-11-01   14.000
1938-12-01   14.000
1939-01-01   14.000
1939-02-01   13.900
1939-03-01   13.900
1939-04-01   13.800
1939-05-01   13.800
1939-06-01   13.800
1939-07-01   13.800
1939-08-01   13.800
1939-09-01   14.100
1939-10-01   14.000
1939-11-01   14.000
1939-12-01   14.000
1940-01-01   13.900
1940-02-01   14.000
1940-03-01   14.000
1940-04-01   14.000
1940-05-01   14.000
1940-06-01   14.100
1940-07-01   14.000
1940-08-01   14.000
1940-09-01   14.000
1940-10-01   14.000
1940-11-01   14.000
1940-12-01   14.100
1941-01-01   14.100
1941-02-01   14.100
1941-03-01   14.200
1941-04-01   14.300
1941-05-01   14.400
1941-06-01   14.700
1941-07-01   14.700
1941-08-01   14.900
1941-09-01   15.100
1941-10-01   15.300
1941-11-01   15.400
1941-12-01   15.500
1942-01-01   15.700
1942-02-01   15.800
1942-03-01   16.000
1942-04-01   16.100
1942-05-01   16.300
1942-06-01   16.300
1942-07-01   16.400
1942-08-01   16.500
1942-09-01   16.500
1942-10-01   16.700
1942-11-01   16.800
1942-12-01   16.900
1943-01-01   16.900
1943-02-01   16.900
1943-03-01   17.200
1943-04-01   17.400
1943-05-01   17.500
1943-06-01   17.500
1943-07-01   17.400
1943-08-01   17.300
1943-09-01   17.400
1943-10-01   17.400
1943-11-01   17.400
1943-12-01   17.400
1944-01-01   17.400
1944-02-01   17.400
1944-03-01   17.400
1944-04-01   17.500
1944-05-01   17.500
1944-06-01   17.600
1944-07-01   17.700
1944-08-01   17.700
1944-09-01   17.700
1944-10-01   17.700
1944-11-01   17.700
1944-12-01   17.800
1945-01-01   17.800
1945-02-01   17.800
1945-03-01   17.800
1945-04-01   17.800
1945-05-01   17.900
1945-06-01   18.100
1945-07-01   18.100
1945-08-01   18.100
1945-09-01   18.100
1945-10-01   18.100
1945-11-01   18.100
1945-12-01   18.200
1946-01-01   18.200
1946-02-01   18.100
1946-03-01   18.300
1946-04-01   18.400
1946-05-01   18.500
1946-06-01   18.700
1946-07-01   19.800
1946-08-01   20.200
1946-09-01   20.400
1946-10-01   20.800
1946-11-01   21.300
1946-12-01   21.500
1947-01-01   21.500
1947-02-01   21.500
1947-03-01   21.900
1947-04-01   21.900
1947-05-01   21.900
1947-06-01   22.000
1947-07-01   22.200
1947-08-01   22.500
1947-09-01   23.000
1947-10-01   23.000
1947-11-01   23.100
1947-12-01   23.400
1948-01-01   23.700
1948-02-01   23.500
1948-03-01   23.400
1948-04-01   23.800
1948-05-01   23.900
1948-06-01   24.100
1948-07-01   24.400
1948-08-01   24.500
1948-09-01   24.500
1948-10-01   24.400
1948-11-01   24.200
1948-12-01   24.100
1949-01-01   24.000
1949-02-01   23.800
1949-03-01   23.800
1949-04-01   23.900
1949-05-01   23.800
1949-06-01   23.900
1949-07-01   23.700
1949-08-01   23.800
1949-09-01   23.900
1949-10-01   23.700
1949-11-01   23.800
1949-12-01   23.600
1950-01-01   23.500
1950-02-01   23.500
1950-03-01   23.600
1950-04-01   23.600
1950-05-01   23.700
1950-06-01   23.800
1950-07-01   24.100
1950-08-01   24.300
1950-09-01   24.400
1950-10-01   24.600
1950-11-01   24.700
1950-12-01   25.000
1951-01-01   25.400
1951-02-01   25.700
1951-03-01   25.800
1951-04-01   25.800
1951-05-01   25.900
1951-06-01   25.900
1951-07-01   25.900
1951-08-01   25.900
1951-09-01   26.100
1951-10-01   26.200
1951-11-01   26.400
1951-12-01   26.500
1952-01-01   26.500
1952-02-01   26.300
1952-03-01   26.300
1952-04-01   26.400
1952-05-01   26.400
1952-06-01   26.500
1952-07-01   26.700
1952-08-01   26.700
1952-09-01   26.700
1952-10-01   26.700
1952-11-01   26.700
1952-12-01   26.700
1953-01-01   26.600
1953-02-01   26.500
1953-03-01   26.600
1953-04-01   26.600
1953-05-01   26.700
1953-06-01   26.800
1953-07-01   26.800
1953-08-01   26.900
1953-09-01   26.900
1953-10-01   27.000
1953-11-01   26.900
1953-12-01   26.900
1954-01-01   26.900
1954-02-01   26.900
1954-03-01   26.900
1954-04-01   26.800
1954-05-01   26.900
1954-06-01   26.900
1954-07-01   26.900
1954-08-01   26.900
1954-09-01   26.800
1954-10-01   26.800
1954-11-01   26.800
1954-12-01   26.700
1955-01-01   26.700
1955-02-01   26.700
1955-03-01   26.700
1955-04-01   26.700
1955-05-01   26.700
1955-06-01   26.700
1955-07-01   26.800
1955-08-01   26.800
1955-09-01   26.900
1955-10-01   26.900
1955-11-01   26.900
1955-12-01   26.800
1956-01-01   26.800
1956-02-01   26.800
1956-03-01   26.800
1956-04-01   26.900
1956-05-01   27.000
1956-06-01   27.200
1956-07-01   27.400
1956-08-01   27.300
1956-09-01   27.400
1956-10-01   27.500
1956-11-01   27.500
1956-12-01   27.600
1957-01-01   27.600
1957-02-01   27.700
1957-03-01   27.800
1957-04-01   27.900
1957-05-01   28.000
1957-06-01   28.100
1957-07-01   28.300
1957-08-01   28.300
1957-09-01   28.300
1957-10-01   28.300
1957-11-01   28.400
1957-12-01   28.400
1958-01-01   28.600
1958-02-01   28.600
1958-03-01   28.800
1958-04-01   28.900
1958-05-01   28.900
1958-06-01   28.900
1958-07-01   29.000
1958-08-01   28.900
1958-09-01   28.900
1958-10-01   28.900
1958-11-01   29.000
1958-12-01   28.900
1959-01-01   29.000
1959-02-01   28.900
1959-03-01   28.900
1959-04-01   29.000
1959-05-01   29.000
1959-06-01   29.100
1959-07-01   29.200
1959-08-01   29.200
1959-09-01   29.300
1959-10-01   29.400
1959-11-01   29.400
1959-12-01   29.400
1960-01-01   29.300
1960-02-01   29.400
1960-03-01   29.400
1960-04-01   29.500
1960-05-01   29.500
1960-06-01   29.600
1960-07-01   29.600
1960-08-01   29.600
1960-09-01   29.600
1960-10-01   29.800
1960-11-01   29.800
1960-12-01   29.800
1961-01-01   29.800
1961-02-01   29.800
1961-03-01   29.800
1961-04-01   29.800
1961-05-01   29.800
1961-06-01   29.800
1961-07-01   30.000
1961-08-01   29.900
1961-09-01   30.000
1961-10-01   30.000
1961-11-01   30.000
1961-12-01   30.000
1962-01-01   30.000
1962-02-01   30.100
1962-03-01   30.100
1962-04-01   30.200
1962-05-01   30.200
1962-06-01   30.200
1962-07-01   30.300
1962-08-01   30.300
1962-09-01   30.400
1962-10-01   30.400
1962-11-01   30.400
1962-12-01   30.400
1963-01-01   30.400
1963-02-01   30.400
1963-03-01   30.500
1963-04-01   30.500
1963-05-01   30.500
1963-06-01   30.600
1963-07-01   30.700
1963-08-01   30.700
1963-09-01   30.700
1963-10-01   30.800
1963-11-01   30.800
1963-12-01   30.900
1964-01-01   30.900
1964-02-01   30.900
1964-03-01   30.900
1964-04-01   30.900
1964-05-01   30.900
1964-06-01   31.000
1964-07-01   31.100
1964-08-01   31.000
1964-09-01   31.100
1964-10-01   31.100
1964-11-01   31.200
1964-12-01   31.200
1965-01-01   31.200
1965-02-01   31.200
1965-03-01   31.300
1965-04-01   31.400
1965-05-01   31.400
1965-06-01   31.600
1965-07-01   31.600
1965-08-01   31.600
1965-09-01   31.600
1965-10-01   31.700
1965-11-01   31.700
1965-12-01   31.800
1966-01-01   31.800
1966-02-01   32.000
1966-03-01   32.100
1966-04-01   32.300
1966-05-01   32.300
1966-06-01   32.400
1966-07-01   32.500
1966-08-01   32.700
1966-09-01   32.700
1966-10-01   32.900
1966-11-01   32.900
1966-12-01   32.900
1967-01-01   32.900
1967-02-01   32.900
1967-03-01   33.000
1967-04-01   33.100
1967-05-01   33.200
1967-06-01   33.300
1967-07-01   33.400
1967-08-01   33.500
1967-09-01   33.600
1967-10-01   33.700
1967-11-01   33.800
1967-12-01   33.900
1968-01-01   34.100
1968-02-01   34.200
1968-03-01   34.300
1968-04-01   34.400
1968-05-01   34.500
1968-06-01   34.700
1968-07-01   34.900
1968-08-01   35.000
1968-09-01   35.100
1968-10-01   35.300
1968-11-01   35.400
1968-12-01   35.500
1969-01-01   35.600
1969-02-01   35.800
1969-03-01   36.100
1969-04-01   36.300
1969-05-01   36.400
1969-06-01   36.600
1969-07-01   36.800
1969-08-01   37.000
1969-09-01   37.100
1969-10-01   37.300
1969-11-01   37.500
1969-12-01   37.700
1970-01-01   37.800
1970-02-01   38.000
1970-03-01   38.200
1970-04-01   38.500
1970-05-01   38.600
1970-06-01   38.800
1970-07-01   39.000
1970-08-01   39.000
1970-09-01   39.200
1970-10-01   39.400
1970-11-01   39.600
1970-12-01   39.800
1971-01-01   39.800
1971-02-01   39.900
1971-03-01   40.000
1971-04-01   40.100
1971-05-01   40.300
1971-06-01   40.600
1971-07-01   40.700
1971-08-01   40.800
1971-09-01   40.800
1971-10-01   40.900
1971-11-01   40.900
1971-12-01   41.100
1972-01-01   41.100
1972-02-01   41.300
1972-03-01   41.400
1972-04-01   41.500
1972-05-01   41.600
1972-06-01   41.700
1972-07-01   41.900
1972-08-01   42.000
1972-09-01   42.100
1972-10-01   42.300
1972-11-01   42.400
1972-12-01   42.500
1973-01-01   42.600
1973-02-01   42.900
1973-03-01   43.300
1973-04-01   43.600
1973-05-01   43.900
1973-06-01   44.200
1973-07-01   44.300
1973-08-01   45.100
1973-09-01   45.200
1973-10-01   45.600
1973-11-01   45.900
1973-12-01   46.200
1974-01-01   46.600
1974-02-01   47.200
1974-03-01   47.800
1974-04-01   48.000
1974-05-01   48.600
1974-06-01   49.000
1974-07-01   49.400
1974-08-01   50.000
1974-09-01   50.600
1974-10-01   51.100
1974-11-01   51.500
1974-12-01   51.900
1975-01-01   52.100
1975-02-01   52.500
1975-03-01   52.700
1975-04-01   52.900
1975-05-01   53.200
1975-06-01   53.600
1975-07-01   54.200
1975-08-01   54.300
1975-09-01   54.600
1975-10-01   54.900
1975-11-01   55.300
1975-12-01   55.500
1976-01-01   55.600
1976-02-01   55.800
1976-03-01   55.900
1976-04-01   56.100
1976-05-01   56.500
1976-06-01   56.800
1976-07-01   57.100
1976-08-01   57.400
1976-09-01   57.600
1976-10-01   57.900
1976-11-01   58.000
1976-12-01   58.200
1977-01-01   58.500
1977-02-01   59.100
1977-03-01   59.500
1977-04-01   60.000
1977-05-01   60.300
1977-06-01   60.700
1977-07-01   61.000
1977-08-01   61.200
1977-09-01   61.400
1977-10-01   61.600
1977-11-01   61.900
1977-12-01   62.100
1978-01-01   62.500
1978-02-01   62.900
1978-03-01   63.400
1978-04-01   63.900
1978-05-01   64.500
1978-06-01   65.200
1978-07-01   65.700
1978-08-01   66.000
1978-09-01   66.500
1978-10-01   67.100
1978-11-01   67.400
1978-12-01   67.700
1979-01-01   68.300
1979-02-01   69.100
1979-03-01   69.800
1979-04-01   70.600
1979-05-01   71.500
1979-06-01   72.300
1979-07-01   73.100
1979-08-01   73.800
1979-09-01   74.600
1979-10-01   75.200
1979-11-01   75.900
1979-12-01   76.700
1980-01-01   77.800
1980-02-01   78.900
1980-03-01   80.100
1980-04-01   81.000
1980-05-01   81.800
1980-06-01   82.700
1980-07-01   82.700
1980-08-01   83.300
1980-09-01   84.000
1980-10-01   84.800
1980-11-01   85.500
1980-12-01   86.300
1981-01-01   87.000
1981-02-01   87.900
1981-03-01   88.500
1981-04-01   89.100
1981-05-01   89.800
1981-06-01   90.600
1981-07-01   91.600
1981-08-01   92.300
1981-09-01   93.200
1981-10-01   93.400
1981-11-01   93.700
1981-12-01   94.000
1982-01-01   94.300
1982-02-01   94.600
1982-03-01   94.500
1982-04-01   94.900
1982-05-01   95.800
1982-06-01   97.000
1982-07-01   97.500
1982-08-01   97.700
1982-09-01   97.900
1982-10-01   98.200
1982-11-01   98.000
1982-12-01   97.600
1983-01-01   97.800
1983-02-01   97.900
1983-03-01   97.900
1983-04-01   98.600
1983-05-01   99.200
1983-06-01   99.500
1983-07-01   99.900
1983-08-01  100.200
1983-09-01  100.700
1983-10-01  101.000
1983-11-01  101.200
1983-12-01  101.300
1984-01-01  101.900
1984-02-01  102.400
1984-03-01  102.600
1984-04-01  103.100
1984-05-01  103.400
1984-06-01  103.700
1984-07-01  104.100
1984-08-01  104.500
1984-09-01  105.000
1984-10-01  105.300
1984-11-01  105.300
1984-12-01  105.300
1985-01-01  105.500
1985-02-01  106.000
1985-03-01  106.400
1985-04-01  106.900
1985-05-01  107.300
1985-06-01  107.600
1985-07-01  107.800
1985-08-01  108.000
1985-09-01  108.300
1985-10-01  108.700
1985-11-01  109.000
1985-12-01  109.300
1986-01-01  109.600
1986-02-01  109.300
1986-03-01  108.800
1986-04-01  108.600
1986-05-01  108.900
1986-06-01  109.500
1986-07-01  109.500
1986-08-01  109.700
1986-09-01  110.200
1986-10-01  110.300
1986-11-01  110.400
1986-12-01  110.500
1987-01-01  111.200
1987-02-01  111.600
1987-03-01  112.100
1987-04-01  112.700
1987-05-01  113.100
1987-06-01  113.500
1987-07-01  113.800
1987-08-01  114.400
1987-09-01  115.000
1987-10-01  115.300
1987-11-01  115.400
1987-12-01  115.400
1988-01-01  115.700
1988-02-01  116.000
1988-03-01  116.500
1988-04-01  117.100
1988-05-01  117.500
1988-06-01  118.000
1988-07-01  118.500
1988-08-01  119.000
1988-09-01  119.800
1988-10-01  120.200
1988-11-01  120.300
1988-12-01  120.500
1989-01-01  121.100
1989-02-01  121.600
1989-03-01  122.300
1989-04-01  123.100
1989-05-01  123.800
1989-06-01  124.100
1989-07-01  124.400
1989-08-01  124.600
1989-09-01  125.000
1989-10-01  125.600
1989-11-01  125.900
1989-12-01  126.100
1990-01-01  127.400
1990-02-01  128.000
1990-03-01  128.700
1990-04-01  128.900
1990-05-01  129.200
1990-06-01  129.900
1990-07-01  130.400
1990-08-01  131.600
1990-09-01  132.700
1990-10-01  133.500
1990-11-01  133.800
1990-12-01  133.800
1991-01-01  134.600
1991-02-01  134.800
1991-03-01  135.000
1991-04-01  135.200
1991-05-01  135.600
1991-06-01  136.000
1991-07-01  136.200
1991-08-01  136.600
1991-09-01  137.200
1991-10-01  137.400
1991-11-01  137.800
1991-12-01  137.900
1992-01-01  138.100
1992-02-01  138.600
1992-03-01  139.300
1992-04-01  139.500
1992-05-01  139.700
1992-06-01  140.200
1992-07-01  140.500
1992-08-01  140.900
1992-09-01  141.300
1992-10-01  141.800
1992-11-01  142.000
1992-12-01  141.900
1993-01-01  142.600
1993-02-01  143.100
1993-03-01  143.600
1993-04-01  144.000
1993-05-01  144.200
1993-06-01  144.400
1993-07-01  144.400
1993-08-01  144.800
1993-09-01  145.100
1993-10-01  145.700
1993-11-01  145.800
1993-12-01  145.800
1994-01-01  146.200
1994-02-01  146.700
1994-03-01  147.200
1994-04-01  147.400
1994-05-01  147.500
1994-06-01  148.000
1994-07-01  148.400
1994-08-01  149.000
1994-09-01  149.400
1994-10-01  149.500
1994-11-01  149.700
1994-12-01  149.700
1995-01-01  150.300
1995-02-01  150.900
1995-03-01  151.400
1995-04-01  151.900
1995-05-01  152.200
1995-06-01  152.500
1995-07-01  152.500
1995-08-01  152.900
1995-09-01  153.200
1995-10-01  153.700
1995-11-01  153.600
1995-12-01  153.500
1996-01-01  154.400
1996-02-01  154.900
1996-03-01  155.700
1996-04-01  156.300
1996-05-01  156.600
1996-06-01  156.700
1996-07-01  157.000
1996-08-01  157.300
1996-09-01  157.800
1996-10-01  158.300
1996-11-01  158.600
1996-12-01  158.600
1997-01-01  159.100
1997-02-01  159.600
1997-03-01  160.000
1997-04-01  160.200
1997-05-01  160.100
1997-06-01  160.300
1997-07-01  160.500
1997-08-01  160.800
1997-09-01  161.200
1997-10-01  161.600
1997-11-01  161.500
1997-12-01  161.300
1998-01-01  161.600
1998-02-01  161.900
1998-03-01  162.200
1998-04-01  162.500
1998-05-01  162.800
1998-06-01  163.000
1998-07-01  163.200
1998-08-01  163.400
1998-09-01  163.600
1998-10-01  164.000
1998-11-01  164.000
1998-12-01  163.900
1999-01-01  164.300
1999-02-01  164.500
1999-03-01  165.000
1999-04-01  166.200
1999-05-01  166.200
1999-06-01  166.200
1999-07-01  166.700
1999-08-01  167.100
1999-09-01  167.900
1999-10-01  168.200
1999-11-01  168.300
1999-12-01  168.300
2000-01-01  168.800
2000-02-01  169.800
2000-03-01  171.200
2000-04-01  171.300
2000-05-01  171.500
2000-06-01  172.400
2000-07-01  172.800
2000-08-01  172.800
2000-09-01  173.700
2000-10-01  174.000
2000-11-01  174.100
2000-12-01  174.000
2001-01-01  175.100
2001-02-01  175.800
2001-03-01  176.200
2001-04-01  176.900
2001-05-01  177.700
2001-06-01  178.000
2001-07-01  177.500
2001-08-01  177.500
2001-09-01  178.300
2001-10-01  177.700
2001-11-01  177.400
2001-12-01  176.700
2002-01-01  177.100
2002-02-01  177.800
2002-03-01  178.800
2002-04-01  179.800
2002-05-01  179.800
2002-06-01  179.900
2002-07-01  180.100
2002-08-01  180.700
2002-09-01  181.000
2002-10-01  181.300
2002-11-01  181.300
2002-12-01  180.900
2003-01-01  181.700
2003-02-01  183.100
2003-03-01  184.200
2003-04-01  183.800
2003-05-01  183.500
2003-06-01  183.700
2003-07-01  183.900
2003-08-01  184.600
2003-09-01  185.200
2003-10-01  185.000
2003-11-01  184.500
2003-12-01  184.300
2004-01-01  185.200
2004-02-01  186.200
2004-03-01  187.400
2004-04-01  188.000
2004-05-01  189.100
2004-06-01  189.700
2004-07-01  189.400
2004-08-01  189.500
2004-09-01  189.900
2004-10-01  190.900
2004-11-01  191.000
2004-12-01  190.300
2005-01-01  190.700
2005-02-01  191.800
2005-03-01  193.300
2005-04-01  194.600
2005-05-01  194.400
2005-06-01  194.500
2005-07-01  195.400
2005-08-01  196.400
2005-09-01  198.800
2005-10-01  199.200
2005-11-01  197.600
2005-12-01  196.800
2006-01-01  198.300
2006-02-01  198.700
2006-03-01  199.800
2006-04-01  201.500
2006-05-01  202.500
2006-06-01  202.900
2006-07-01  203.500
2006-08-01  203.900
2006-09-01  202.900
2006-10-01  201.800
2006-11-01  201.500
2006-12-01  201.800
2007-01-01  202.416
2007-02-01  203.499
2007-03-01  205.352
2007-04-01  206.686
2007-05-01  207.949
2007-06-01  208.352
2007-07-01  208.299
2007-08-01  207.917
2007-09-01  208.490
2007-10-01  208.936
2007-11-01  210.177
2007-12-01  210.036
2008-01-01  211.080
2008-02-01  211.693
2008-03-01  213.528
2008-04-01  214.823
2008-05-01  216.632
2008-06-01  218.815
2008-07-01  219.964
2008-08-01  219.086
2008-09-01  218.783
2008-10-01  216.573
2008-11-01  212.425
2008-12-01  210.228
2009-01-01  211.143
2009-02-01  212.193
2009-03-01  212.709
2009-04-01  213.240
2009-05-01  213.856
2009-06-01  215.693
2009-07-01  215.351
2009-08-01  215.834
2009-09-01  215.969
2009-10-01  216.177
2009-11-01  216.330
2009-12-01  215.949
2010-01-01  216.687
2010-02-01  216.741
2010-03-01  217.631
2010-04-01  218.009
2010-05-01  218.178
2010-06-01  217.965
2010-07-01  218.011
2010-08-01  218.312
2010-09-01  218.439
2010-10-01  218.711
2010-11-01  218.803
2010-12-01  219.179
2011-01-01  220.223
2011-02-01  221.309
2011-03-01  223.467
2011-04-01  224.906
2011-05-01  225.964
2011-06-01  225.722
2011-07-01  225.922
2011-08-01  226.545
2011-09-01  226.889
2011-10-01  226.421
2011-11-01  226.230
2011-12-01  225.672
2012-01-01  226.665
2012-02-01  227.663
2012-03-01  229.392
2012-04-01  230.085
2012-05-01  229.815
2012-06-01  229.478
2012-07-01  229.104
2012-08-01  230.379
2012-09-01  231.407
2012-10-01  231.317
2012-11-01  230.221
2012-12-01  229.601
2013-01-01  230.280
2013-02-01  232.166
2013-03-01  232.773
2013-04-01  232.531
2013-05-01  232.945
2013-06-01  233.504
2013-07-01  233.596
2013-08-01  233.877
2013-09-01  234.149
2013-10-01  233.546
2013-11-01  233.069
2013-12-01  233.049
2014-01-01  233.916
2014-02-01  234.781
2014-03-01  236.293
2014-04-01  237.072
2014-05-01  237.900
2014-06-01  238.343
2014-07-01  238.250
2014-08-01  237.852
2014-09-01  238.031
2014-10-01  237.433
2014-11-01  236.151
2014-12-01  234.812
2015-01-01  233.707
2015-02-01  234.722
2015-03-01  236.119
2015-04-01  236.599
2015-05-01  237.805
2015-06-01  238.638
2015-07-01  238.654
2015-08-01  238.316
2015-09-01  237.945
2015-10-01  237.838
2015-11-01  237.336
2015-12-01  236.525
2016-01-01  236.916
2016-02-01  237.111
2016-03-01  238.132
2016-04-01  239.261
2016-05-01  240.229
2016-06-01  241.018
2016-07-01  240.628
2016-08-01  240.849
